EV1-L,EV1-R,EV2-L,EV2-R,OccFus-L,OccFus-R,pFus-L,pFus-R,mFus-L,mFus-R,pMTG-L,pMTG-R,aFus-R,mMTG-L,mMTG-R,aMTG-L,aMTG-R,IFG1-L,IFG2-L,IFG2-R,TPJ-L,TPJ-R,MPFC-L,MPFC-R,dPreCun-L,dPreCun-R,mPreCun-L,mPreCun-R,vPreCun-L,vPreCun-R
11377.951977472771,10347.449416366198,9181.1008021234175,7659.644164722713,9062.7958139968541,10820.765741258325,10473.083536050643,10557.52373903164,11017.092602292449,9276.9862018649674,8101.5955680469815,7912.2764581626061,6505.2081740255026,5465.2442767829325,7755.7892563687965,9261.97905690271,7030.7556580286782,8008.9636857850419,8699.2458947786799,9405.5226865604964,8871.705764551898,10899.60950594012,7075.8505427060391,8159.0718794927598,10664.907294177472,10826.253175043163,11698.085542834169,12515.998312764585,12106.635269039438,12609.794787190192
11381.250879975694,10324.838543158494,9143.8925628199122,7671.647639609062,9033.0972194144924,10786.223448499528,10513.333118651775,10592.645839666686,11057.840101933567,9285.9288657201887,8125.7447873531601,7945.9168451565756,6463.7406883706144,5458.6642161103009,7779.3075728794183,9238.3883722692226,7004.1821947304352,8015.2932045503721,8681.5963874790723,9393.7892236610987,8901.5715884534293,10937.534622198105,7038.5723291791801,8165.4660330469815,10694.694734549303,10880.713202746165,11720.365680222129,12639.206265923978,12128.784911843923,12651.915052221959
11398.838797643915,10313.197824160903,9174.8812579520509,7689.1359391519582,9032.6022919161005,10783.740195926024,10543.315192492575,10569.85830657451,11070.17563589394,9285.9438315099615,8147.2950717412596,7975.8899370028303,6489.5675453140839,5490.2923292133855,7809.6329199257616,9217.8843784106066,7015.185866587678,8050.4005130405112,8695.5728821671837,9420.2352338192886,8936.4747044060987,10982.387925018826,7038.4265397222771,8182.3189151512688,10726.870482122151,10891.075677933079,11744.431486287393,12631.574219524393,12106.986794244922,12650.061602683907
11335.924735303677,10294.018900585263,9187.7621142456428,7683.6270930560486,9041.1411171926829,10793.453286752854,10517.680706989368,10581.311461825622,11052.737077076248,9303.5167735311388,8116.792544271927,7945.578750702065,6510.4535677525055,5481.9960844837005,7784.1735066773726,9237.0241251925254,7035.917569928547,7997.4569917894451,8668.3519873896639,9365.4892913035819,8871.9625287335293,10938.104882074338,7021.9883539166212,8153.1205150734131,10679.832307573606,10858.520990909643,11686.371756719773,12526.531127182925,12042.210836545051,12579.463474332557
11354.180037010899,10337.632127381308,9189.2540522487852,7717.892686377756,9045.3045258951624,10742.763898134734,10490.340848533871,10576.704604865859,11054.410155701575,9274.8626203766617,8111.679524810721,7913.203790487205,6475.6805701490102,5449.015062808171,7758.5723536720252,9210.7511952904642,7020.286269503762,8014.9601686629467,8645.4679034786041,9363.1828610980938,8844.1455667239879,10947.402461233807,6981.2242751351378,8140.6686774344107,10693.995099862912,10865.699289585629,11706.394913575365,12556.391551005256,12072.45284320105,12592.957594436475
11345.269568071508,10329.399258131365,9179.761606733915,7644.3990018851528,8979.65419013885,10730.043968346841,10413.855653128441,10532.847520263089,11012.26285998363,9243.8063058800362,8094.2167056671078,7916.0894617060812,6468.9519519150781,5483.0630346253674,7774.839958517935,9238.5931346701273,6995.762626790025,8022.4882608935623,8712.0256813609376,9368.4282421204607,8857.2356682436493,10913.629973813635,7000.8281954666099,8172.003479445244,10654.045143679268,10827.581176935275,11722.729348263227,12580.553908287242,12165.917302225218,12646.124304516412
11321.183179588126,10378.710324889798,9163.4835343846225,7632.497800303775,8999.0794760027438,10763.299639706167,10442.131073068216,10527.555460332402,11024.120793836388,9234.8512627821892,8065.3130920532985,7914.8819876970074,6436.9689290218776,5492.5748457365235,7757.1053573089239,9237.4603771907459,7032.1353099294201,7985.5633344213547,8716.8857241323949,9321.0196100683916,8853.6063579911843,10888.041669071004,7038.9135447381732,8136.2763487281172,10638.668104876389,10762.26148698707,11731.040773411887,12543.502929828932,12150.463055764505,12643.234229979897
11471.671624981363,10459.978600691114,9284.9073787754824,7731.0745861186087,9050.5906444333541,10808.236903004718,10575.303332474687,10609.420833908938,11067.567252717779,9358.0574824437263,8146.8037229667716,7981.1890354311981,6465.3101145156852,5495.3670812629634,7829.0983640286595,9281.8527111453095,7062.1237429203893,8034.8035949234481,8692.2960545934948,9449.9827870700774,8914.0328005984684,11005.150681601852,7015.3046363204621,8152.5734207009891,10730.251277124316,10914.89871682505,11778.46122478104,12726.96824262273,12172.349495589158,12716.726629052138
11413.432547784509,10387.577384786053,9289.034720261543,7729.4271031603394,9050.665131407457,10791.395061019952,10592.178039385026,10598.47226316868,11084.261498917,9297.2472115042929,8120.1518177794114,7963.2170899362709,6471.8027624951819,5476.2431293956115,7808.6734501614419,9215.9867681005144,7056.1191850340056,8007.7368203072137,8675.333086958557,9384.9353804197854,8875.7534672446291,10957.728751487502,6973.5337819648175,8145.114288133911,10680.325068531791,10860.510231382186,11734.650694072643,12713.900841095756,12148.7820784548,12714.00404032284
11358.175212729235,10373.981973379965,9290.9561434728203,7759.052654373475,9051.2041987492266,10776.377765650839,10482.918783524339,10541.194977703661,11021.123038244252,9254.0373228462558,8084.0400490943584,7914.3087700584229,6464.9815218028089,5453.9694266775814,7790.7171536297255,9228.6159688555144,7033.6215880761583,8007.305115031676,8676.9297929560726,9379.7685401713716,8849.6589464018689,10920.836134399231,6940.1282032749332,8153.5706558601332,10642.053406279885,10832.16188377953,11693.600206313176,12621.02089508785,12095.154311937182,12663.988120207618
11419.488490253276,10425.214906410551,9285.8722168502609,7758.3794431479237,9088.929657578461,10851.79566196797,10551.13858123349,10626.480747660766,11071.508671115784,9309.8618753470364,8122.7573641160261,7971.4129499058326,6454.319742299921,5540.6760499148086,7848.8057999994116,9269.7790518362635,7058.2920278606944,8009.7914240386826,8671.7901691154129,9410.9529499024757,8930.7624504005289,10992.027679215165,6951.8357070017855,8164.7731989399217,10672.539316076771,10857.211804258421,11806.496721335599,12768.531188294313,12182.717364552896,12750.835342548076
11444.304207790814,10375.609205036746,9243.88237763082,7705.7350460159296,9038.4793974385957,10792.31538102018,10600.28881212819,10598.430768428067,11061.322665895976,9310.2723348324962,8116.2565534652085,7987.206487421653,6471.2710455854412,5505.6685630370675,7826.7505917349235,9266.4681803076492,7061.9629394913018,8003.4544866950346,8669.7195837805175,9414.9832254229641,8923.8726341363945,10994.223833528487,6938.0267793251214,8154.3288212221978,10686.166857564795,10889.052297284987,11788.617381050877,12769.751045286339,12188.187118189102,12715.501455385014
11361.799734880326,10358.43111478448,9264.800688534011,7763.688672539648,9027.8635244328507,10790.082523324609,10512.674461305103,10556.862243888412,11021.53022995426,9243.5964265728744,8104.7495926232987,7962.9957947875691,6456.7958205132745,5530.5933784135977,7809.7043006410549,9277.8358940712515,7051.6777155186701,8007.8444108922185,8695.0879391524013,9388.7281294532677,8916.2428125276056,10997.40581379682,6940.616748608174,8147.1633010105179,10709.135552528844,10885.959581711115,11798.096395171471,12743.056777330667,12143.760488209167,12689.120930377829
11370.411357688272,10398.611245172002,9284.0550197794055,7784.9102839428942,9069.4688346991024,10790.199937998887,10529.847489605054,10559.162951472217,11049.878342931108,9334.0066657589468,8130.0675404972735,7977.5500735699352,6507.3738709743029,5482.8185027352456,7828.3020509475609,9269.1407361638485,7039.5682445109787,8003.072503403022,8630.8142629210215,9373.8890726164936,8884.756786254824,10970.24086734668,6948.2705830531813,8167.431323576151,10702.087733344957,10903.877291977193,11738.120951853067,12689.759285364524,12141.816024977135,12703.198998608446
11373.346803572869,10291.225022734876,9145.3246207291559,7636.8103249004407,9013.4268544773477,10751.59086557095,10499.789670752962,10539.320487416575,11028.742311122285,9270.9301041751878,8063.6686930804572,7956.3129144763025,6459.1039282240599,5461.2272637673759,7804.9626464118737,9222.6358861764274,7038.3316164551416,7952.2920181748304,8636.5563638053263,9378.4529575797933,8860.8210981880184,10936.162864142372,6956.6624788255203,8142.4386249129493,10618.744355824023,10802.664404796229,11725.690417094798,12605.391001149088,12161.831054184086,12693.273291026348
11445.988244871827,10391.745830907488,9284.7597984659096,7743.5183282182052,9049.0746598550395,10766.054967504862,10518.401886046435,10536.513823439298,11047.181696891263,9305.5227749692112,8143.3737481426815,7931.9121990069561,6480.1865518324175,5447.8097968045595,7826.0121755802875,9231.3049226043477,7036.408614280198,7987.4445813228867,8642.7674007349888,9384.3417211714805,8846.0553667922486,10944.918180792194,6931.89648825942,8150.1675746994651,10720.980849846572,10928.481529661147,11702.670430538572,12667.181257402166,12148.347927021419,12677.937696560872
11416.097856861559,10419.942267958853,9292.4933245093398,7764.3499353274055,9071.7013978956402,10821.958527587856,10554.156867124411,10628.516382682717,11043.03139173686,9303.4623751533672,8109.6900043349688,7948.5646060887102,6478.7875484620772,5509.5788549272183,7796.0181929326427,9266.2516900723349,7059.3718858739612,7992.8727559137387,8671.5867237606963,9411.0496743313597,8868.9029521144184,10963.234727690082,6959.2526716866987,8152.2496099531645,10637.950186777849,10832.858979934788,11749.53748136548,12694.31546209336,12143.043723019939,12698.151076026679
11388.941426520651,10330.512639753095,9212.7062309722569,7683.1106058461892,9033.1334713431443,10754.222231493024,10554.376056357301,10557.097747723539,11060.5724063824,9313.4626309406049,8124.4266303143804,7971.3006102956797,6487.864124116425,5478.2595225511786,7830.8826442620411,9273.851646855479,7068.4082696860996,8027.4597752937789,8643.7132114059532,9424.2501723612895,8875.4841170335985,10943.167263577176,6961.633509908168,8175.1413143773816,10684.769998129226,10896.619997474336,11704.471874446488,12650.560744569659,12089.80627124527,12642.383969076302
11377.689945484097,10348.77339854099,9179.861880803126,7759.5528365771461,9025.2410256591138,10767.500502781828,10435.714919685402,10531.277443317515,10992.128405073732,9216.5191425939065,8108.0087385287297,7926.9085671656703,6452.0217593780171,5467.432601897196,7772.8045039539811,9242.8878448860396,7019.4874515454412,8035.2230637204557,8666.7032926613956,9406.5983248404227,8866.1056510282924,10922.191855233412,6944.815664870106,8119.9639425864361,10651.906166359588,10863.238908780198,11684.881151157213,12529.303809281024,12087.394505101422,12599.959982646958
11416.718779787732,10424.933495780173,9254.2535077552748,7758.9547769265801,9063.3742894766401,10813.944024913739,10549.828745938141,10624.961670608744,11072.324691052418,9313.4131981562714,8177.1646980709638,7977.0342398970597,6469.7686545141405,5485.9128040100841,7837.2961657402402,9213.3117260796316,7046.1622964345406,8054.8573904278137,8668.6217488967632,9446.0778223022553,8915.2320046823388,10962.771874711321,6913.057894451239,8151.1849489477809,10717.27482587054,10925.564173559496,11740.347453673132,12660.425836053304,12134.486318011019,12668.840225963804
